1486681199,010160070000,+105412900+4
1486681199,010171070000,+126036000+1
1486681199,010151070000,+212940000+1
1486681199,010131070000,+129691000+1
1486681206,010160070000,+105712200+4
1486681206,010171070000,+126055000+1
1486681206,010151070000,+213742000+1
1486681206,010131070000,+130284000+1
1486681213,010160070000,+105321700+4
1486681213,010171070000,+125889000+1
1486681213,010151070000,+213177000+1
1486681213,010131070000,+129143000+1
1486681220,010160070000,+105173100+4
1486681220,010171070000,+125643000+1
1486681220,010151070000,+212906000+1
1486681220,010131070000,+129087000+1
1486681227,010160070000,+105483800+4
1486681227,010171070000,+126163000+1
1486681227,010151070000,+213790000+1
1486681227,010131070000,+129155000+1
1486681234,010160070000,+105534400+4
1486681234,010171070000,+125815000+1
1486681234,010151070000,+213846000+1
1486681234,010131070000,+129332000+1
1486681241,010160070000,+105652600+4
1486681241,010171070000,+126848000+1
1486681241,010151070000,+213873000+1
1486681241,010131070000,+129280000+1
1486681248,010160070000,+105887900+4
1486681248,010171070000,+127785000+1
1486681248,010151070000,+213140000+1
1486681248,010131070000,+129463000+1
1486681255,010160070000,+117590300+4
1486681255,010171070000,+174073000+1
1486681255,010151070000,+212434000+1
1486681255,010131070000,+129600000+1
1486681262,010160070000,+115037700+4
1486681262,010171070000,+128987000+1
1486681262,010151070000,+253927000+1
1486681262,010131070000,+129259000+1
1486681269,010160070000,+106348200+4
1486681269,010171070000,+126723000+1
1486681269,010151070000,+216601000+1
1486681269,010131070000,+129604000+1
1486681276,010160070000,+106056600+4
1486681276,010171070000,+126257000+1
1486681276,010151070000,+216501000+1
1486681276,010131070000,+129436000+1
1486681283,010160070000,+105952000+4
1486681283,010171070000,+127537000+1
1486681283,010151070000,+216230000+1
1486681283,010131070000,+129223000+1
1486681290,010160070000,+105630000+4
1486681290,010171070000,+125265000+1
1486681290,010151070000,+216082000+1
1486681290,010131070000,+129505000+1
1486681297,010160070000,+105739300+4
1486681297,010171070000,+125935000+1
1486681297,010151070000,+216546000+1
1486681297,010131070000,+129027000+1
1486681304,010160070000,+105684100+4
1486681304,010171070000,+125821000+1
1486681304,010151070000,+216241000+1
1486681304,010131070000,+129212000+1
1486681311,010160070000,+105510800+4
1486681311,010171070000,+126145000+1
1486681311,010151070000,+216432000+1
1486681311,010131070000,+128525000+1
1486681318,010160070000,+105461200+4
1486681318,010171070000,+125933000+1
1486681318,010151070000,+216816000+1
1486681318,010131070000,+128240000+1
1486681326,010160070000,+106008300+4
1486681326,010171070000,+125884000+1
1486681326,010151070000,+217634000+1
1486681326,010131070000,+128793000+1
1486681333,010160070000,+105803500+4
1486681333,010171070000,+126252000+1
1486681333,010151070000,+217239000+1
1486681333,010131070000,+128563000+1
1486681340,010160070000,+106013900+4
1486681340,010171070000,+128035000+1
1486681340,010151070000,+217189000+1
1486681340,010131070000,+128111000+1
1486681347,010160070000,+106110600+4
1486681347,010171070000,+129409000+1
1486681347,010151070000,+216872000+1
1486681347,010131070000,+128901000+1
1486681354,010160070000,+105809000+4
1486681354,010171070000,+127809000+1
1486681354,010151070000,+216256000+1
1486681354,010131070000,+128113000+1
1486681361,010160070000,+106300900+4
1486681361,010171070000,+127672000+1
1486681361,010151070000,+217718000+1
1486681361,010131070000,+128745000+1
1486681368,010160070000,+105961000+4
1486681368,010171070000,+126389000+1
1486681368,010151070000,+217115000+1
1486681368,010131070000,+128811000+1
1486681375,010160070000,+105579400+4
1486681375,010171070000,+125655000+1
1486681375,010151070000,+217049000+1
1486681375,010131070000,+128672000+1
1486681382,010160070000,+106010500+4
1486681382,010171070000,+126552000+1
1486681382,010151070000,+219122000+1
1486681382,010131070000,+128463000+1
1486681389,010160070000,+105864200+4
1486681389,010171070000,+126937000+1
1486681389,010151070000,+216490000+1
1486681389,010131070000,+128948000+1
1486681396,010160070000,+105869900+4
1486681396,010171070000,+126239000+1
1486681396,010151070000,+217114000+1
1486681396,010131070000,+129691000+1
1486681403,010160070000,+105780900+4
1486681403,010171070000,+159413000+1
1486681403,010151070000,+218111000+1
1486681403,010131070000,+129701000+1
1486681410,010160070000,+117593700+4
1486681410,010171070000,+169018000+1
1486681410,010151070000,+217205000+1
1486681410,010131070000,+129191000+1
1486681417,010160070000,+106126500+4
1486681417,010171070000,+125987000+1
1486681417,010151070000,+216706000+1
1486681417,010131070000,+128773000+1
1486681424,010160070000,+106063400+4
1486681424,010171070000,+125875000+1
1486681424,010151070000,+217397000+1
1486681424,010131070000,+129412000+1
1486681431,010160070000,+106276100+4
1486681431,010171070000,+127815000+1
1486681431,010151070000,+216533000+1
1486681431,010131070000,+129096000+1
1486681438,010160070000,+106882700+4
1486681438,010171070000,+131164000+1
1486681438,010151070000,+217521000+1
1486681438,010131070000,+128539000+1
1486681445,010160070000,+127032800+4
1486681445,010171070000,+128519000+1
1486681445,010151070000,+300951000+1
1486681445,010131070000,+129392000+1
1486681452,010160070000,+126007500+4
1486681452,010171070000,+127680000+1
1486681452,010151070000,+299340000+1
1486681452,010131070000,+128472000+1
1486681459,010160070000,+125676600+4
1486681459,010171070000,+125355000+1
1486681459,010151070000,+299223000+1
1486681459,010131070000,+128607000+1
1486681466,010160070000,+125800400+4
1486681466,010171070000,+125971000+1
1486681466,010151070000,+299342000+1
1486681466,010131070000,+128309000+1
1486681473,010160070000,+125777800+4
1486681473,010171070000,+127000000+1
1486681473,010151070000,+299627000+1
1486681473,010131070000,+128547000+1
1486681480,010160070000,+125678900+4
1486681480,010171070000,+126108000+1
1486681480,010151070000,+299636000+1
1486681480,010131070000,+128884000+1
1486681487,010160070000,+125562900+4
1486681487,010171070000,+125384000+1
1486681487,010151070000,+299258000+1
1486681487,010131070000,+128912000+1
1486681494,010160070000,+126355300+4
1486681494,010171070000,+127472000+1
1486681494,010151070000,+300515000+1
1486681494,010131070000,+131785000+1
1486681501,010160070000,+132160400+4
1486681501,010171070000,+126689000+1
1486681501,010151070000,+300270000+1
1486681501,010131070000,+154997000+1
1486681508,010160070000,+132190700+4
1486681508,010171070000,+127645000+1
1486681508,010151070000,+298876000+1
1486681508,010131070000,+156379000+1
1486681515,010160070000,+133178800+4
1486681515,010171070000,+127631000+1
1486681515,010151070000,+299086000+1
1486681515,010131070000,+162540000+1
1486681522,010160070000,+116299300+4
1486681522,010171070000,+127485000+1
1486681522,010151070000,+217115000+1
1486681522,010131070000,+165544000+1
1486681529,010160070000,+113935900+4
1486681529,010171070000,+128728000+1
1486681529,010151070000,+216501000+1
1486681529,010131070000,+165594000+1
1486681536,010160070000,+113975300+4
1486681536,010171070000,+128153000+1
1486681536,010151070000,+215427000+1
1486681536,010131070000,+166684000+1
1486681543,010160070000,+113663600+4
1486681543,010171070000,+126565000+1
1486681543,010151070000,+216865000+1
1486681543,010131070000,+166482000+1
1486681550,010160070000,+113870600+4
1486681550,010171070000,+126359000+1
1486681550,010151070000,+216981000+1
1486681550,010131070000,+167494000+1
1486681557,010160070000,+114873400+4
1486681557,010171070000,+126528000+1
1486681557,010151070000,+217991000+1
1486681557,010131070000,+171404000+1
1486681564,010160070000,+115853600+4
1486681564,010171070000,+125817000+1
1486681564,010151070000,+216965000+1
1486681564,010131070000,+174193000+1
1486681571,010160070000,+115078200+4
1486681571,010171070000,+126215000+1
1486681571,010151070000,+216845000+1
1486681571,010131070000,+172128000+1
1486681578,010160070000,+115232500+4
1486681578,010171070000,+127288000+1
1486681578,010151070000,+216826000+1
1486681578,010131070000,+172340000+1
1486681585,010160070000,+114763200+4
1486681585,010171070000,+126277000+1
1486681585,010151070000,+216959000+1
1486681585,010131070000,+172925000+1
1486681592,010160070000,+114666300+4
1486681592,010171070000,+126075000+1
1486681592,010151070000,+216093000+1
1486681592,010131070000,+172886000+1
1486681599,010160070000,+115011800+4
1486681599,010171070000,+125641000+1
1486681599,010151070000,+216272000+1
1486681599,010131070000,+173506000+1
1486681606,010160070000,+115504700+4
1486681606,010171070000,+127748000+1
1486681606,010151070000,+216230000+1
1486681606,010131070000,+174488000+1
1486681613,010160070000,+115460900+4
1486681613,010171070000,+128525000+1
1486681613,010151070000,+217090000+1
1486681613,010131070000,+174669000+1
1486681620,010160070000,+115620700+4
1486681620,010171070000,+129556000+1
1486681620,010151070000,+216313000+1
1486681620,010131070000,+173289000+1
1486681627,010160070000,+115061400+4
1486681627,010171070000,+127572000+1
1486681627,010151070000,+215760000+1
1486681627,010131070000,+173525000+1
1486681634,010160070000,+115635400+4
1486681634,010171070000,+127155000+1
1486681634,010151070000,+218846000+1
1486681634,010131070000,+172834000+1
1486681641,010160070000,+115318000+4
1486681641,010171070000,+126448000+1
1486681641,010151070000,+216590000+1
1486681641,010131070000,+172729000+1
1486681648,010160070000,+115112000+4
1486681648,010171070000,+126532000+1
1486681648,010151070000,+216236000+1
1486681648,010131070000,+172830000+1
1486681655,010160070000,+115146900+4
1486681655,010171070000,+126404000+1
1486681655,010151070000,+216667000+1
1486681655,010131070000,+172386000+1
1486681662,010160070000,+115252700+4
1486681662,010171070000,+126413000+1
1486681662,010151070000,+216360000+1
1486681662,010131070000,+172958000+1
1486681669,010160070000,+114552600+4
1486681669,010171070000,+126344000+1
1486681669,010151070000,+215665000+1
1486681669,010131070000,+172873000+1
1486681676,010160070000,+115003900+4
1486681676,010171070000,+126328000+1
1486681676,010151070000,+216852000+1
1486681676,010131070000,+172685000+1
1486681683,010160070000,+115653400+4
1486681683,010171070000,+126979000+1
1486681683,010151070000,+217502000+1
1486681683,010131070000,+174518000+1
1486681690,010160070000,+114590900+4
1486681690,010171070000,+126343000+1
1486681690,010151070000,+215722000+1
1486681690,010131070000,+172729000+1
1486681697,010160070000,+114983700+4
1486681697,010171070000,+128773000+1
1486681697,010151070000,+215852000+1
1486681697,010131070000,+172046000+1
1486681704,010160070000,+115176200+4
1486681704,010171070000,+129776000+1
1486681704,010151070000,+215794000+1
1486681704,010131070000,+172646000+1
1486681711,010160070000,+115386600+4
1486681711,010171070000,+129140000+1
1486681711,010151070000,+215856000+1
1486681711,010131070000,+172750000+1
1486681718,010160070000,+125630400+4
1486681718,010171070000,+177364000+1
1486681718,010151070000,+216046000+1
1486681718,010131070000,+173520000+1
1486681726,010160070000,+115113100+4
1486681726,010171070000,+128303000+1
1486681726,010151070000,+216639000+1
1486681726,010131070000,+172044000+1
1486681733,010160070000,+115251500+4
1486681733,010171070000,+126288000+1
1486681733,010151070000,+215878000+1
1486681733,010131070000,+172190000+1
1486681740,010160070000,+109284400+4
1486681740,010171070000,+126149000+1
1486681740,010151070000,+215413000+1
1486681740,010131070000,+147273000+1
1486681747,010160070000,+109466800+4
1486681747,010171070000,+125259000+1
1486681747,010151070000,+216110000+1
1486681747,010131070000,+148439000+1
1486681754,010160070000,+109801000+4
1486681754,010171070000,+125897000+1
1486681754,010151070000,+216494000+1
1486681754,010131070000,+149821000+1
1486681761,010160070000,+110142000+4
1486681761,010171070000,+126871000+1
1486681761,010151070000,+217163000+1
1486681761,010131070000,+149171000+1
1486681768,010160070000,+109802100+4
1486681768,010171070000,+126448000+1
1486681768,010151070000,+217053000+1
1486681768,010131070000,+149175000+1
1486681775,010160070000,+109447600+4
1486681775,010171070000,+126529000+1
1486681775,010151070000,+215378000+1
1486681775,010131070000,+148872000+1
1486681782,010160070000,+110021600+4
1486681782,010171070000,+127221000+1
1486681782,010151070000,+217187000+1
1486681782,010131070000,+149044000+1
1486681789,010160070000,+110303000+4
1486681789,010171070000,+128344000+1
1486681789,010151070000,+216921000+1
1486681789,010131070000,+149323000+1
1486681796,010160070000,+110232100+4
1486681796,010171070000,+129448000+1
1486681796,010151070000,+216314000+1
1486681796,010131070000,+149096000+1
1486681803,010160070000,+110703600+4
1486681803,010171070000,+129432000+1
1486681803,010151070000,+216966000+1
1486681803,010131070000,+149392000+1
1486681810,010160070000,+109307000+4
1486681810,010171070000,+127829000+1
1486681810,010151070000,+216366000+1
1486681810,010131070000,+145305000+1
1486681817,010160070000,+109263000+4
1486681817,010171070000,+125617000+1
1486681817,010151070000,+216425000+1
1486681817,010131070000,+146589000+1
1486681824,010160070000,+109156200+4
1486681824,010171070000,+125603000+1
1486681824,010151070000,+215890000+1
1486681824,010131070000,+147044000+1
1486681831,010160070000,+109435200+4
1486681831,010171070000,+126565000+1
1486681831,010151070000,+215760000+1
1486681831,010131070000,+147337000+1
1486681838,010160070000,+109462200+4
1486681838,010171070000,+126867000+1
1486681838,010151070000,+216732000+1
